incident_datetime,incident_cord_x,incident_cord_y,num_victims,location_type,Crime_Type
06-Jun-2044 01:54:00,26.622588635561,-38.4467800296975,1,0,LARCENY-FROM VEHICLE
10-Jun-2044 13:00:00,26.6193365562786,-38.4412024604741,1,13,LARCENY-NON VEHICLE
25-Feb-2044 09:00:00,26.6167368293598,-38.4440003562014,1,4,LARCENY-NON VEHICLE
02-Jun-2044 09:30:00,26.6202856035578,-38.4449935238704,1,33,LARCENY-NON VEHICLE
16-Mar-2044 19:20:00,26.6263829844112,-38.4435949707894,1,15,AUTO THEFT
18-Dec-2044 12:45:00,26.6205523749834,-38.442383668768,1,30,ROBBERY-PEDESTRIAN
26-Aug-2044 21:00:00,26.6209698250597,-38.4437532022188,1,10,LARCENY-FROM VEHICLE
28-Aug-2044 16:30:00,26.6276331330016,-38.4451310423236,2,13,LARCENY-FROM VEHICLE
10-Nov-2044 22:40:00,26.6201273134794,-38.4428143961314,1,17,AGG ASSAULT
21-May-2044 17:30:00,26.6161272903119,-38.4444858080532,1,10,LARCENY-FROM VEHICLE
16-Nov-2044 19:30:00,26.6180117551696,-38.443041510744,1,0,LARCENY-NON VEHICLE
03-Dec-2044 19:00:00,26.6176323525988,-38.4417903203005,1,5,LARCENY-NON VEHICLE
18-Sep-2044 01:00:00,26.6179675501184,-38.4412914868342,2,10,LARCENY-FROM VEHICLE
16-Mar-2044 11:15:00,26.6198345413698,-38.4435972871995,1,10,LARCENY-FROM VEHICLE
09-Jun-2044 18:20:00,26.6205927723901,-38.4410022332824,1,10,AUTO THEFT
25-Feb-2044 17:50:00,26.6198928174906,-38.444117135213,1,10,LARCENY-FROM VEHICLE
08-Jan-2044 17:00:00,26.6186050548876,-38.4434016652947,1,6,LARCENY-FROM VEHICLE
16-Mar-2044 17:51:00,26.6263083683423,-38.4432863454635,1,17,AUTO THEFT
13-Jul-2044 23:00:00,26.6206685253654,-38.4433604965811,1,13,BURGLARY-RESIDENCE
